,Question,Category,Answer,answer_class
0,Какие документы выдает система после успешного прохождения обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
1,"Где можно найти информацию о сертификатах, полученных после завершения курса?",Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
2,Что станет свидетельством успешного завершения обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
3,Какие удостоверения можно получить после окончания обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
4,Где можно получить подробности о выдаваемых документах?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
5,Какие документы будут предоставлены по окончании обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
6,Какие сертификаты могут быть получены после прохождения курса?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
7,Какие документы необходимы для успешного завершения обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
8,Какие критерии должны быть выполнены для получения удостоверения об окончании курса?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
9,"Какие данные содержатся в документе, который выдается после обучения?",Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
10,Существует ли возможность получить дополнительные документы после прохождения обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
11,"В каком формате предоставляется документ, подтверждающий уровень ваших компетенций?",Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
12,Могу ли я заказать дубликат документа о завершении обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
13,Есть ли возможность получить электронную версию сертификата о прохождении обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
14,Какие документы будут выданы после завершения обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
15,Какие удостоверения я получу в конце курса?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
16,Какие аккредитации будут предоставлены после прохождения обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
17,Какие сертификаты я получу после успешного окончания программы обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
